Equipment Type ID;Equipment Type ;PropertyTypes ID;PropertyTypes
124554051601;SNMP-Interface;309237645485;id
;;309237645486;name
;;309237645487;resourceType
;;309237645488;specification
;;309237645489;vendor
;;309237645490;source
;;309237645491;ipAddress
;;309237645492;port
;;309237645493;credential
;;309237645494;parentId
;;309237645495;ifSpeed
;;309237645496;ifDescr
;;309237645497;ifName
;;309237645498;ifAdminStatus
;;309237645499;ifPhysAddress
;;309237645500;ifAlias
;;309237645501;ifMtu
;;309237645502;ifLastChange
;;309237645503;ifPromiscuousMode
;;309237645504;ifOperStatus
;;309237645505;ifIndex
;;309237645506;ifHighSpeed
;;309237645507;ifType
;;309237645508;ifConnectorPresent
;;309237657679;parentName
;;309237661015;DEVICE_NAME
;;309237661016;NOME_ANTIGO
;;309237661017;NOME_PLATAFORMA
;;309237661018;NRO_CONTRATO
;;309237661019;RESPONSAVEL
;;309237661020;SITE_CRITICO
;;309237661021;STATUS
;;309237661022;STS_CRITICO
;;309237661023;STS_SITE_VIP
;;309237661024;VENDOR
;;309237661025;CNL
;;309237661026;CONCENTRADOR
;;309237661027;DDD
;;309237661028;DESCRICAO
;;309237661029;DESCRICAO_GRUPO_HARDWARE
;;309237661030;DESCRICAO_HARDWARE
;;309237661031;DEVICENAME
;;309237661032;HOSTNAME
;;309237661033;IP
;;309237673930;REGIONAL
;;309237677204;ipAdEntIfIndex
;;309237677205;ipAdEntNetMask
